"id","Ammonium ( uM )","Avg_Chloro ( mg/m3 )","Avg_Phaeo ( mg/m3 )","Chl1 ( mg/m3 )","Chl2 ( mg/m3 )","Nitrate ( uM )","Nitrite ( uM )","Nitrite_Nitrate ( uM )","pDA ( ng/mL )","Phaeo1 ( mg/m3 )","Phaeo2 ( mg/m3 )","Phosphate ( uM )","Silicate ( uM )","Temp ( Celsius )","Salinity ( PSS )"
"HABs-SantaMonicaPier_2010-08-16T14:00:00Z",3.3,2,NA,NA,NA,1.3,0.1,NA,0,NA,NA,0.4,3.3,16,NA
"HABs-SantaMonicaPier_2010-08-23T14:30:00Z",2.7,1,NA,NA,NA,0.7,0,NA,0,NA,NA,0.4,4.8,20,NA
"HABs-SantaMonicaPier_2010-08-30T19:00:00Z",13.3,3,NA,NA,NA,3,0.2,NA,0.2,NA,NA,69.4,10.8,18,NA
"HABs-SantaMonicaPier_2010-09-06T14:30:00Z",2.1,6,NA,NA,NA,0.7,0,NA,0,NA,NA,0.3,4.3,16,NA
"HABs-SantaMonicaPier_2010-09-13T14:30:00Z",2.6,4.5,NA,NA,NA,1.3,0,NA,0,NA,NA,0.4,3.5,16,NA
"HABs-SantaMonicaPier_2010-09-20T18:30:00Z",6.8,9,NA,NA,NA,1.3,0,NA,0.04,NA,NA,0.4,5.8,16,NA
"HABs-SantaMonicaPier_2010-09-27T18:00:00Z",3.6,8,NA,NA,NA,0.9,0,NA,0.04,NA,NA,0.5,5.5,20,NA
"HABs-SantaMonicaPier_2010-10-11T17:00:00Z",2.4,4,NA,NA,NA,0.8,0.1,NA,0,NA,NA,0.4,4.8,18,NA
"HABs-SantaMonicaPier_2010-10-18T16:00:00Z",197,35.1,NA,NA,NA,2.8,0.5,NA,0,NA,NA,0.7,6,17,NA
"HABs-SantaMonicaPier_2010-10-25T16:30:00Z",11.4,0.5,NA,NA,NA,1.8,0.2,NA,0,NA,NA,0.6,5.6,17.5,NA
"HABs-SantaMonicaPier_2010-11-01T16:15:00Z",89.2,1,NA,NA,NA,2.3,0.2,NA,0,NA,NA,0.5,3.1,17,NA
"HABs-SantaMonicaPier_2010-11-08T17:30:00Z",18.5,4,NA,NA,NA,1.9,0.1,NA,0,NA,NA,0.5,2,17,NA
"HABs-SantaMonicaPier_2010-11-15T17:15:00Z",1.2,1.5,NA,NA,NA,1.4,0.2,NA,0,NA,NA,0.4,1.5,16,NA
"HABs-SantaMonicaPier_2010-11-22T18:00:00Z",149,1,NA,NA,NA,1.2,0.2,NA,0,NA,NA,0.5,1.4,16,NA
"HABs-SantaMonicaPier_2010-11-29T17:30:00Z",274,7.5,NA,NA,NA,7.2,0.5,NA,0,NA,NA,0.7,4.9,12.5,NA
"HABs-SantaMonicaPier_2010-12-03T20:00:00Z",3,4.5,NA,NA,NA,8,0.4,NA,0,NA,NA,0.9,5.4,14,NA
"HABs-SantaMonicaPier_2010-12-06T17:30:00Z",7.3,0,NA,NA,NA,2.8,0.1,NA,0.07,NA,NA,0.6,2,14,NA
"HABs-SantaMonicaPier_2010-12-13T20:00:00Z",4.5,2.4,NA,NA,NA,1.5,0.2,NA,0.04,NA,NA,0.5,2.4,NA,NA
"HABs-SantaMonicaPier_2010-12-22T20:00:00Z",2.9,3.2,NA,NA,NA,1.1,0.2,NA,0,NA,NA,0.6,3.2,15,NA
"HABs-SantaMonicaPier_2011-01-03T19:00:00Z",14.6,0,NA,NA,NA,6.9,0.5,NA,0,NA,NA,1.3,9,13,NA
"HABs-SantaMonicaPier_2011-01-10T20:00:00Z",3.5,14.4,NA,NA,NA,2.2,0.2,NA,0,NA,NA,1.9,6,14,NA
"HABs-SantaMonicaPier_2011-01-17T20:00:00Z",2.2,6.4,NA,NA,NA,1.1,0.2,NA,0.2,NA,NA,0.4,3.8,15,NA
"HABs-SantaMonicaPier_2011-01-24T20:00:00Z",4.3,3.2,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.3,1.6,16,NA
"HABs-SantaMonicaPier_2011-01-31T16:00:00Z",3.8,12.8,NA,NA,NA,0.7,0.2,NA,0,NA,NA,0.4,2.5,14,NA
"HABs-SantaMonicaPier_2011-02-07T16:00:00Z",11.9,0,NA,NA,NA,1.1,0.4,NA,0,NA,NA,0.4,4.1,14.5,NA
"HABs-SantaMonicaPier_2011-02-14T19:00:00Z",4,4.5,NA,NA,NA,0.7,0.1,NA,0,NA,NA,0.4,6.2,16.5,NA
"HABs-SantaMonicaPier_2011-02-21T20:00:00Z",15.3,0,NA,NA,NA,0.8,0.4,NA,0,NA,NA,0.7,7,15,NA
"HABs-SantaMonicaPier_2011-02-28T20:00:00Z",5.7,NA,NA,NA,NA,3,0.3,NA,0,NA,NA,0.7,7,14,NA
"HABs-SantaMonicaPier_2011-03-07T18:15:00Z",5.8,0.5,NA,NA,NA,0.8,0.1,NA,0,NA,NA,0.4,7.7,15,NA
"HABs-SantaMonicaPier_2011-03-14T17:15:00Z",5.7,22.6,NA,NA,NA,2.8,0.2,NA,1.5,NA,NA,0.5,2.1,13.5,NA
"HABs-SantaMonicaPier_2011-03-21T19:00:00Z",5.6,0,NA,NA,NA,4.5,0.2,NA,0,NA,NA,0.7,4.7,14,NA
"HABs-SantaMonicaPier_2011-03-28T17:00:00Z",6.6,0,NA,NA,NA,4.7,0.3,NA,0.1,NA,NA,0.9,7.3,14,NA
"HABs-SantaMonicaPier_2011-04-04T16:30:00Z",4.3,0.5,NA,NA,NA,1.8,0.1,NA,0,NA,NA,0.4,4.1,16,NA
"HABs-SantaMonicaPier_2011-04-11T17:00:00Z",6.3,0.7,NA,NA,NA,6.7,0.3,NA,0,NA,NA,0.9,8.5,14,NA
"HABs-SantaMonicaPier_2011-04-18T16:30:00Z",7.1,1.3,NA,NA,NA,4,0.4,NA,0,NA,NA,0.6,3.8,17,NA
"HABs-SantaMonicaPier_2011-04-25T16:30:00Z",6.1,0.2,NA,NA,NA,5.3,0.4,NA,0,NA,NA,1,6,15.5,NA
"HABs-SantaMonicaPier_2011-05-02T16:30:00Z",2.6,0.2,NA,NA,NA,3.2,0.2,NA,0,NA,NA,0.4,4.2,16,NA
"HABs-SantaMonicaPier_2011-05-09T18:00:00Z",3.5,6.3,NA,NA,NA,2.3,0.3,NA,0,NA,NA,0.7,5.4,15.5,NA
"HABs-SantaMonicaPier_2011-05-16T18:30:00Z",3.9,0,NA,NA,NA,1.9,0.2,NA,0,NA,NA,0.9,8.9,16,NA
"HABs-SantaMonicaPier_2011-05-23T16:15:00Z",5.6,1,NA,NA,NA,4.4,0.2,NA,0,NA,NA,0.7,11.9,16.5,NA
"HABs-SantaMonicaPier_2011-05-30T17:00:00Z",3.1,2,NA,NA,NA,3.8,0.3,NA,0,NA,NA,0.7,11.3,16.5,NA
"HABs-SantaMonicaPier_2011-06-06T17:30:00Z",1.6,2,NA,NA,NA,1,0.2,NA,0.048,NA,NA,0.5,3.5,17.5,NA
"HABs-SantaMonicaPier_2011-06-13T17:30:00Z",2.7,0,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.3,2.5,17,NA
"HABs-SantaMonicaPier_2011-06-18T19:00:00Z",3.9,3,NA,NA,NA,2.2,0.2,NA,0,NA,NA,0.4,3.9,19.5,NA
"HABs-SantaMonicaPier_2011-06-27T17:00:00Z",1.5,0,NA,NA,NA,1,0.7,NA,0,NA,NA,0.2,4,20.5,NA
"HABs-SantaMonicaPier_2011-07-05T19:00:00Z",1.6,0,NA,NA,NA,0.8,NA,NA,0,NA,NA,0.3,3.5,23,NA
"HABs-SantaMonicaPier_2011-07-11T17:00:00Z",1,0,NA,NA,NA,0.5,NA,NA,0,NA,NA,0.4,6.7,19.5,NA
"HABs-SantaMonicaPier_2011-07-18T17:00:00Z",3.6,0,NA,NA,NA,1.4,NA,NA,0.055,NA,NA,0.5,5.4,20.5,NA
"HABs-SantaMonicaPier_2011-07-25T17:30:00Z",3.5,4,NA,NA,NA,1.6,NA,NA,0.043,NA,NA,0.5,2.5,21,NA
"HABs-SantaMonicaPier_2011-08-01T18:30:00Z",7.8,1,NA,NA,NA,0.2,NA,NA,0,NA,NA,0.3,3.3,21.5,NA
"HABs-SantaMonicaPier_2011-08-08T18:30:00Z",5.1,0,NA,NA,NA,0.4,NA,NA,0,NA,NA,0.4,6.2,21.5,NA
"HABs-SantaMonicaPier_2011-08-15T18:30:00Z",4.8,4,NA,NA,NA,0.4,NA,NA,0.063,NA,NA,0.6,3.6,20,NA
"HABs-SantaMonicaPier_2011-08-22T17:30:00Z",5,0,NA,NA,NA,0.5,NA,NA,0,NA,NA,0.5,3,21,NA
"HABs-SantaMonicaPier_2011-08-29T17:00:00Z",1.1,0,NA,NA,NA,0.1,NA,NA,0,NA,NA,0.3,2.7,23,NA
"HABs-SantaMonicaPier_2011-09-04T19:00:00Z",2.7,1,NA,NA,NA,0.4,NA,NA,0.047,NA,NA,0.5,3.4,19.5,NA
"HABs-SantaMonicaPier_2011-09-12T18:30:00Z",2.2,0,NA,NA,NA,0.3,NA,NA,0,NA,NA,0.3,1.7,21.5,NA
"HABs-SantaMonicaPier_2011-09-19T17:30:00Z",3.3,2,NA,NA,NA,0.6,0.3,NA,0,NA,NA,0.4,1.7,19.5,NA
"HABs-SantaMonicaPier_2011-09-26T19:00:00Z",2,5,NA,NA,NA,0.4,0.1,NA,0,NA,NA,0.3,2.3,22.3,NA
"HABs-SantaMonicaPier_2011-10-03T18:30:00Z",2,2,NA,NA,NA,0.5,0.1,NA,0,NA,NA,0.4,3,20,NA
"HABs-SantaMonicaPier_2011-10-09T19:00:00Z",2.1,9,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.4,3.7,18,NA
"HABs-SantaMonicaPier_2011-10-17T18:00:00Z",0.6,2,NA,NA,NA,0.3,0.1,NA,0,NA,NA,0.3,3.8,19,NA
"HABs-SantaMonicaPier_2011-10-24T19:00:00Z",1.9,17.9,NA,NA,NA,0.4,0,NA,0,NA,NA,0.7,5.4,17,NA
"HABs-SantaMonicaPier_2011-10-30T19:00:00Z",4,1,NA,NA,NA,1.5,0.2,NA,0,NA,NA,0.6,5.7,18,NA
"HABs-SantaMonicaPier_2011-11-06T19:30:00Z",4.7,4,NA,NA,NA,6.5,0.4,NA,0,NA,NA,0.8,8,16,NA
"HABs-SantaMonicaPier_2011-11-13T18:00:00Z",5.2,6,NA,NA,NA,2.5,0.3,NA,0,NA,NA,0.5,5.6,16.5,NA
"HABs-SantaMonicaPier_2011-11-28T19:30:00Z",3.9,0,NA,NA,NA,1.5,0.4,NA,0,NA,NA,0.6,4.7,16,NA
"HABs-SantaMonicaPier_2011-12-04T19:00:00Z",1,3.5,NA,NA,NA,2,0.5,NA,0,NA,NA,0.4,4.5,15,NA
"HABs-SantaMonicaPier_2011-12-11T18:30:00Z",1.9,3.4,NA,NA,NA,0.3,0.1,NA,0,NA,NA,0.5,1,15,NA
"HABs-SantaMonicaPier_2011-12-18T18:00:00Z",3.5,0.4,NA,NA,NA,0.8,0.5,NA,0,NA,NA,0.5,2.3,16,NA
"HABs-SantaMonicaPier_2011-12-24T19:00:00Z",4.5,0.2,NA,NA,NA,1.4,0.4,NA,0,NA,NA,1.9,19.2,15,NA
"HABs-SantaMonicaPier_2012-01-01T18:30:00Z",3.8,0,NA,NA,NA,0.9,0.4,NA,0,NA,NA,0.7,3.9,15,NA
"HABs-SantaMonicaPier_2012-01-09T18:00:00Z",2.7,1.2,NA,NA,NA,0.6,0.8,NA,0.041,NA,NA,0.6,2.8,15,NA
"HABs-SantaMonicaPier_2012-01-14T19:00:00Z",5,0,NA,NA,NA,0.7,0.5,NA,0,NA,NA,0.6,2.4,14.5,NA
"HABs-SantaMonicaPier_2012-01-23T18:30:00Z",2.4,12.2,NA,NA,NA,1.4,0.6,NA,0.12,NA,NA,0.4,3.2,13.5,NA
"HABs-SantaMonicaPier_2012-01-30T19:30:00Z",4.8,1.4,NA,NA,NA,1.2,1.2,NA,0,NA,NA,0.7,1.7,15.5,NA
"HABs-SantaMonicaPier_2012-02-06T19:30:00Z",4.1,2,NA,NA,NA,1.1,3.3,NA,0,NA,NA,0.7,2.7,14.5,NA
"HABs-SantaMonicaPier_2012-02-13T19:30:00Z",11.7,1,NA,NA,NA,1,1.7,NA,0.053,NA,NA,0.7,5.9,15,NA
"HABs-SantaMonicaPier_2012-02-20T18:00:00Z",3.7,3,NA,NA,NA,4.6,0.4,NA,0,NA,NA,0.6,6.5,15,NA
"HABs-SantaMonicaPier_2012-02-27T17:30:00Z",14.8,2,NA,NA,NA,3.2,0.6,NA,0,NA,NA,0.6,7,14,NA
"HABs-SantaMonicaPier_2012-03-05T17:30:00Z",14.7,1,NA,NA,NA,1.8,1.5,NA,0,NA,NA,0.7,4.4,16,NA
"HABs-SantaMonicaPier_2012-03-12T18:00:00Z",18.1,2,NA,NA,NA,5.6,0.5,NA,0,NA,NA,0.9,9.3,14,NA
"HABs-SantaMonicaPier_2012-03-19T18:00:00Z",14.2,NA,NA,NA,NA,10,0.9,NA,0,NA,NA,1.1,15.1,13,NA
"HABs-SantaMonicaPier_2012-03-26T17:00:00Z",4.7,2,NA,NA,NA,10.9,0.8,NA,0,NA,NA,1.2,12.2,12.5,NA
"HABs-SantaMonicaPier_2012-04-02T19:00:00Z",2.5,12,NA,NA,NA,11.7,1.2,NA,0,NA,NA,0.9,4,13.5,NA
"HABs-SantaMonicaPier_2012-04-09T18:30:00Z",3.6,2,NA,NA,NA,6.6,0.7,NA,0,NA,NA,0.4,5.7,15.5,NA
"HABs-SantaMonicaPier_2012-04-16T20:00:00Z",4.7,2,NA,NA,NA,12.1,0.9,NA,0,NA,NA,1.2,10.9,13.5,NA
"HABs-SantaMonicaPier_2012-04-23T19:00:00Z",4.8,2,NA,NA,NA,3.6,1.3,NA,0,NA,NA,0.7,6.9,14,NA
"HABs-SantaMonicaPier_2012-04-30T19:00:00Z",2.4,3,NA,NA,NA,2.8,0.3,NA,0,NA,NA,0.6,4.5,17,NA
"HABs-SantaMonicaPier_2012-05-06T17:00:00Z",3,1,NA,NA,NA,0.7,0.2,NA,0,NA,NA,0.4,1.3,17.5,NA
"HABs-SantaMonicaPier_2012-05-15T16:30:00Z",8.8,1,NA,NA,NA,0.8,0.9,NA,0,NA,NA,0.4,1.6,18,NA
"HABs-SantaMonicaPier_2012-05-21T18:00:00Z",17.7,2,NA,NA,NA,1.7,1.5,NA,0,NA,NA,0.5,4.1,18.5,NA
"HABs-SantaMonicaPier_2012-05-28T17:30:00Z",1.7,1,NA,NA,NA,0.8,0.9,NA,0,NA,NA,0.4,2.9,NA,NA
"HABs-SantaMonicaPier_2012-06-05T18:00:00Z",2.5,1,NA,NA,NA,0.7,1.7,NA,0.1,NA,NA,0.4,3,19,NA
"HABs-SantaMonicaPier_2012-06-11T16:30:00Z",2,0,NA,NA,NA,0.8,0.9,NA,0,NA,NA,0.4,3.1,20,NA
"HABs-SantaMonicaPier_2012-06-18T17:00:00Z",2,1,NA,NA,NA,0.7,0.7,NA,0,NA,NA,0.5,4.3,18.5,NA
"HABs-SantaMonicaPier_2012-06-25T19:00:00Z",0.4,0,NA,NA,NA,0.3,0.4,NA,0,NA,NA,0.3,5,19,NA
"HABs-SantaMonicaPier_2012-07-02T18:00:00Z",3.8,0.5,NA,NA,NA,0.5,0.8,NA,0.25,NA,NA,0.2,2.5,19,NA
"HABs-SantaMonicaPier_2012-07-09T17:15:00Z",12,0,NA,NA,NA,0.9,1.5,NA,0,NA,NA,0.4,3,19,NA
"HABs-SantaMonicaPier_2012-07-16T18:30:00Z",1.6,1.7,NA,NA,NA,0.4,0.5,NA,0,NA,NA,0.2,2.6,19,NA
"HABs-SantaMonicaPier_2012-07-23T19:00:00Z",3.5,2,NA,NA,NA,0.5,0.4,NA,0,NA,NA,0.3,3.9,18,NA
"HABs-SantaMonicaPier_2012-07-30T17:00:00Z",3.1,4.3,NA,NA,NA,0.6,1,NA,0.092,NA,NA,0.3,1.7,19.5,NA
"HABs-SantaMonicaPier_2012-08-06T18:30:00Z",3.8,1,NA,NA,NA,0.6,0.7,NA,0,NA,NA,0.6,2.2,20,NA
"HABs-SantaMonicaPier_2012-08-13T16:30:00Z",2,0,NA,NA,NA,0.7,1.8,NA,0,NA,NA,0.7,2.8,23,NA
"HABs-SantaMonicaPier_2012-08-20T19:00:00Z",0.6,0.3,NA,NA,NA,0.2,0.6,NA,0,NA,NA,0.4,2.7,NA,NA
"HABs-SantaMonicaPier_2012-08-27T17:00:00Z",1.9,0.6,NA,NA,NA,0.4,0.1,NA,0,NA,NA,0.5,3.1,21,NA
"HABs-SantaMonicaPier_2012-09-03T19:00:00Z",0.9,0,NA,NA,NA,0.1,0.4,NA,0,NA,NA,0.3,3,20.8,NA
"HABs-SantaMonicaPier_2012-09-10T17:00:00Z",2,0,NA,NA,NA,1,0.1,NA,0,NA,NA,0.5,3.5,22,NA
"HABs-SantaMonicaPier_2012-09-17T17:00:00Z",2.6,1.5,NA,NA,NA,0.9,0.1,NA,0,NA,NA,0.5,3.4,22,NA
"HABs-SantaMonicaPier_2012-09-24T18:30:00Z",2.5,0.3,NA,NA,NA,0.5,0.3,NA,0,NA,NA,0.6,3.3,20.5,NA
"HABs-SantaMonicaPier_2012-10-02T17:00:00Z",8.1,0,NA,NA,NA,0.9,0.2,NA,0,NA,NA,0.5,5.2,22,NA
"HABs-SantaMonicaPier_2012-10-08T18:00:00Z",10.4,0.7,NA,NA,NA,0.5,0.6,NA,0,NA,NA,0.5,4,20,NA
"HABs-SantaMonicaPier_2012-10-15T16:30:00Z",11.3,0.6,NA,NA,NA,0.9,1.1,NA,0,NA,NA,0.5,5.2,19.5,NA
"HABs-SantaMonicaPier_2012-10-22T20:00:00Z",3.1,0.2,NA,NA,NA,1.8,1.2,NA,0,NA,NA,0.6,11.4,20,NA
"HABs-SantaMonicaPier_2012-10-28T18:30:00Z",3.5,3.6,NA,NA,NA,0.8,0.6,NA,0,NA,NA,0.5,5.3,16,NA
"HABs-SantaMonicaPier_2012-11-05T20:00:00Z",1.5,0.4,NA,NA,NA,1,0.1,NA,0,NA,NA,0.6,3.5,17,NA
"HABs-SantaMonicaPier_2012-11-12T18:00:00Z",4,3.2,NA,NA,NA,2.9,0.3,NA,0.061,NA,NA,0.7,6,15,NA
"HABs-SantaMonicaPier_2012-11-19T18:00:00Z",2.6,2.1,NA,NA,NA,0.5,0,NA,0,NA,NA,0.5,4.2,16,NA
"HABs-SantaMonicaPier_2012-11-26T19:00:00Z",3.1,6.3,NA,NA,NA,0.5,0,NA,0,NA,NA,0.3,4.2,15.5,NA
"HABs-SantaMonicaPier_2012-12-03T20:00:00Z",0.9,0,NA,NA,NA,0.4,0.2,NA,0,NA,NA,0.4,3.7,17.5,NA
"HABs-SantaMonicaPier_2012-12-10T17:30:00Z",7.3,2,NA,NA,NA,0.8,0.2,NA,0,NA,NA,0.5,5.9,16,NA
"HABs-SantaMonicaPier_2012-12-17T19:30:00Z",7.4,0.4,NA,NA,NA,2.5,0.5,NA,0,NA,NA,0.6,7.1,15,NA
"HABs-SantaMonicaPier_2012-12-23T17:30:00Z",4.2,0.3,NA,NA,NA,4,0.4,NA,0,NA,NA,0.6,5.7,14.5,NA
"HABs-SantaMonicaPier_2013-01-07T19:30:00Z",10,22,NA,NA,NA,2.4,0.7,NA,0.006,NA,NA,0.3,32.4,13.5,NA
"HABs-SantaMonicaPier_2013-01-13T20:00:00Z",1.5,9.4,NA,NA,NA,2,0.2,NA,0.049,NA,NA,0.4,1.6,12,NA
"HABs-SantaMonicaPier_2013-01-21T18:00:00Z",18.2,2.3,NA,NA,NA,1.1,0.1,NA,0,NA,NA,0.4,1.9,14,NA
"HABs-SantaMonicaPier_2013-01-28T20:00:00Z",11.2,0.8,NA,NA,NA,2.7,0.1,NA,0,NA,NA,0.3,5.3,13,NA
"HABs-SantaMonicaPier_2013-02-04T20:00:00Z",4.6,0.3,NA,NA,NA,1.7,0.1,NA,0,NA,NA,0.4,5.5,13,NA
"HABs-SantaMonicaPier_2013-02-11T17:30:00Z",17.8,1.1,NA,NA,NA,3,0.3,NA,0,NA,NA,0.4,11.7,13.5,NA
"HABs-SantaMonicaPier_2013-02-18T19:00:00Z",1,0.2,NA,NA,NA,2.1,0.2,NA,0,NA,NA,0.3,7.7,13,NA
"HABs-SantaMonicaPier_2013-02-25T19:00:00Z",2.2,0,NA,NA,NA,6.2,0.3,NA,0,NA,NA,0.7,10.9,13.5,NA
"HABs-SantaMonicaPier_2013-03-04T19:00:00Z",4.2,2.4,NA,NA,NA,7.2,0.5,NA,0,NA,NA,0.6,13.4,14.5,NA
"HABs-SantaMonicaPier_2013-03-12T18:30:00Z",26,35.5,NA,NA,NA,NA,0.1,NA,0,NA,NA,0.2,3.3,14.5,NA
"HABs-SantaMonicaPier_2013-03-18T16:30:00Z",20.2,7,NA,NA,NA,1.6,0.2,NA,0,NA,NA,0.3,4,15,NA
"HABs-SantaMonicaPier_2013-03-27T17:00:00Z",23,0.3,NA,NA,NA,1.6,0.1,NA,0,NA,NA,0.3,2.7,16,NA
"HABs-SantaMonicaPier_2013-04-01T19:00:00Z",11.5,1,NA,NA,NA,1.5,0.1,NA,0,NA,NA,0.3,4.3,16,NA
"HABs-SantaMonicaPier_2013-04-08T17:00:00Z",0.2,2.3,NA,NA,NA,1,0.1,NA,0.15,NA,NA,0.3,3,16,NA
"HABs-SantaMonicaPier_2013-04-15T17:30:00Z",0.6,28.4,NA,NA,NA,1.5,0.2,NA,0.092,NA,NA,0.3,2.4,15,NA
"HABs-SantaMonicaPier_2013-04-22T16:30:00Z",2.4,7,NA,NA,NA,0.5,0.1,NA,0,NA,NA,0.4,3.3,17.5,NA
"HABs-SantaMonicaPier_2013-04-29T16:30:00Z",2.3,6,NA,NA,NA,0.5,0.1,NA,0.11,NA,NA,0.3,0.9,16,NA
"HABs-SantaMonicaPier_2013-05-06T19:00:00Z",8.1,0.7,NA,NA,NA,1,0.1,NA,0,NA,NA,0.3,3,17.5,NA
"HABs-SantaMonicaPier_2013-05-14T16:30:00Z",12.7,2.7,NA,NA,NA,0.5,0,NA,0.48,NA,NA,0.3,3.2,18,NA
"HABs-SantaMonicaPier_2013-05-20T18:30:00Z",9.9,1.4,NA,NA,NA,0.3,0,NA,0.05,NA,NA,0.3,3.3,20,NA
"HABs-SantaMonicaPier_2013-05-28T19:00:00Z",10.2,1.2,NA,NA,NA,0.3,0,NA,0,NA,NA,0.3,4.7,20,NA
"HABs-SantaMonicaPier_2013-06-03T17:00:00Z",1.5,5.9,NA,NA,NA,0.3,0.1,NA,0,NA,NA,0.2,2.5,19,NA
"HABs-SantaMonicaPier_2013-06-10T19:00:00Z",3.2,1.6,NA,NA,NA,0.2,0,NA,0,NA,NA,0.3,4.1,19,NA
"HABs-SantaMonicaPier_2013-06-18T16:30:00Z",14.2,1.6,NA,NA,NA,0.7,0.1,NA,0,NA,NA,0.3,6.8,19.8,NA
"HABs-SantaMonicaPier_2013-06-24T18:00:00Z",14.9,3.1,NA,NA,NA,0.3,0,NA,0,NA,NA,0.2,5.7,21,NA
"HABs-SantaMonicaPier_2013-07-01T19:00:00Z",94.3,10.8,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.3,8,19.5,NA
"HABs-SantaMonicaPier_2013-07-08T18:00:00Z",2.1,6,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.3,6.1,21.5,NA
"HABs-SantaMonicaPier_2013-07-15T16:30:00Z",2,29.7,NA,NA,NA,0.3,0.1,NA,0,NA,NA,0.3,5.2,21.5,NA
"HABs-SantaMonicaPier_2013-07-22T18:30:00Z",1.3,0.4,NA,NA,NA,3.1,0.1,NA,0,NA,NA,0.3,5.6,20,NA
"HABs-SantaMonicaPier_2013-07-29T18:30:00Z",4,1.1,NA,NA,NA,0.7,0.1,NA,0,NA,NA,0.3,6.5,19,NA
"HABs-SantaMonicaPier_2013-08-05T17:30:00Z",8.5,0.4,NA,NA,NA,0.7,0.1,NA,0,NA,NA,0.4,5.4,20,NA
"HABs-SantaMonicaPier_2013-08-12T16:30:00Z",43.8,2.4,NA,NA,NA,1.7,0.1,NA,0,NA,NA,0.5,4.6,20,NA
"HABs-SantaMonicaPier_2013-08-19T17:00:00Z",18.1,1.8,NA,NA,NA,1.1,0.1,NA,0,NA,NA,0.4,4.7,20,NA
"HABs-SantaMonicaPier_2013-08-26T17:30:00Z",100,2.1,NA,NA,NA,1.4,0.3,NA,0,NA,NA,1.1,4.9,19,NA
"HABs-SantaMonicaPier_2013-09-01T19:00:00Z",4.9,0.6,NA,NA,NA,0.7,0.3,NA,0.05,NA,NA,0.4,0.3,20.5,NA
"HABs-SantaMonicaPier_2013-09-09T17:30:00Z",0.4,1.1,NA,NA,NA,0.8,0.1,NA,0,NA,NA,0.4,1.3,20,NA
"HABs-SantaMonicaPier_2013-09-23T19:00:00Z",1.6,1.5,NA,NA,NA,1,0.1,NA,0,NA,NA,0.3,2.2,18,NA
"HABs-SantaMonicaPier_2013-09-30T17:30:00Z",4.1,0.8,NA,NA,NA,0.5,0.1,NA,0,NA,NA,0.3,1.8,19,NA
"HABs-SantaMonicaPier_2013-10-07T17:00:00Z",3.9,1,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.2,2.1,20,NA
"HABs-SantaMonicaPier_2013-10-14T17:00:00Z",5.2,1.7,NA,NA,NA,0.7,0.1,NA,0,NA,NA,0.3,2.3,18.5,NA
"HABs-SantaMonicaPier_2013-10-21T18:30:00Z",1.9,21,NA,NA,NA,0.6,0.1,NA,0,NA,NA,0.2,3,18,NA
"HABs-SantaMonicaPier_2013-10-28T17:00:00Z",16.3,1.6,NA,NA,NA,1.2,0.1,NA,0,NA,NA,0.3,3.6,17,NA
"HABs-SantaMonicaPier_2013-11-05T20:00:00Z",4.3,2.1,NA,NA,NA,1,0.1,NA,0,NA,NA,0.3,3,17,NA
"HABs-SantaMonicaPier_2013-11-11T18:30:00Z",3.5,2.4,NA,NA,NA,0.5,0,NA,0,NA,NA,0.3,0.5,18,NA
"HABs-SantaMonicaPier_2013-11-18T21:00:00Z",2.4,2.9,NA,NA,NA,1.6,0,NA,0,NA,NA,0.4,0.9,17,NA
"HABs-SantaMonicaPier_2013-11-25T20:00:00Z",2.1,5,NA,NA,NA,1.2,0.2,NA,0,NA,NA,0.3,2.6,16.5,NA
"HABs-SantaMonicaPier_2013-12-09T18:00:00Z",47.9,3,NA,NA,NA,1.3,0.1,NA,0.04,NA,NA,0.3,4.1,14.5,NA
"HABs-SantaMonicaPier_2013-12-16T18:30:00Z",10.4,NA,NA,NA,NA,0.5,0.1,NA,0,NA,NA,0.2,1,14,NA
"HABs-SantaMonicaPier_2013-12-31T19:30:00Z",27.5,NA,NA,NA,NA,2.2,0.8,NA,0,NA,NA,0.5,4.3,14.5,NA
"HABs-SantaMonicaPier_2014-01-06T20:00:00Z",20.7,9.2,NA,NA,NA,2.2,0.1,NA,0,NA,NA,0.4,6.9,15.2,NA
"HABs-SantaMonicaPier_2014-01-13T20:00:00Z",1.5,1.1,NA,NA,NA,1.1,0.1,NA,0,NA,NA,0.3,4.1,15.8,NA
"HABs-SantaMonicaPier_2014-01-20T18:00:00Z",3.3,NA,NA,NA,NA,1.1,0.2,NA,0,NA,NA,0.2,6,15,NA
"HABs-SantaMonicaPier_2014-01-27T19:30:00Z",4,NA,NA,NA,NA,1.1,0.2,NA,0,NA,NA,0.4,4.7,16,NA
"HABs-SantaMonicaPier_2014-02-03T19:30:00Z",8.5,NA,NA,NA,NA,1.6,0.3,NA,0,NA,NA,0.4,5.2,15,NA
"HABs-SantaMonicaPier_2014-02-10T22:00:00Z",0.8,NA,NA,NA,NA,0.8,0.1,NA,0,NA,NA,0.4,4.3,15,NA
