"NAME","Latitude","Longitude","Poverty","Labor Force","Housing Characteristics","Population Composition","Personal Disruption","Housing Disruption","Retiree Migration","Urban Sprawl","Commercial Engagement","Commercial Reliance","Recreational Engagement","Recreational Reliance","Sea Level Rise Risk","Storm Surge Risk","Poverty Categorical Ranking","Labor Force Categorical Ranking","Housing Characteristics Categorical Ranking","Population Composition Categorical Ranking","Personal Disruption Categorical Ranking","Housing Disruption Categorical Ranking","Retiree Migration Categorical Ranking","Urban Sprawl Categorical Ranking","Commercial Engagement Categorical Ranking","Commercial Reliance Categorical Ranking","Recreational Engagement Categorical Ranking","Recreational Reliance Categorical Ranking","Sea Level Rise Risk Categorical Ranking","Storm Surge Risk Categorical Ranking"
"Carlsbad",33.1296806,-117.2817361,"-0.644","-0.427","-1.173","-0.16","-0.673","0.906","-0.495","1.071","-0.126","-0.088","N/A","N/A","-0.262","N/A",1,1,1,1,1,3,1,4,1,1,0,0,1,0
"National City",32.6658617,-117.097361,"0.922","0.207","0.312","1.844","0.787","1.417","-0.277","0.992","-0.077","-0.087","N/A","N/A","-0.26","N/A",3,2,2,4,3,4,1,3,1,1,0,0,1,0
"Santee",32.8584029,-116.9859684,"-0.377","-0.329","-0.382","-0.063","-0.376","0.614","-0.251","0.653","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,3,1,1,0,0,1,0
"Solana Beach",32.9914992,-117.2581337,"-0.721","-0.251","-1.179","-0.432","-0.82","0.51","-0.101","1.609","-0.153","-0.088","N/A","N/A","-0.301","N/A",1,1,1,1,1,3,1,4,1,1,0,0,1,0
"Atascadero",35.4857179,-120.687942,"-0.502","-0.423","-0.273","-0.274","-0.656","0.762","-0.264","-0.386","-0.115","-0.087","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,1,1,1,0,0,1,0
"Grover Beach",35.1208877,-120.6196642,"0.074","-0.349","-0.036","0.521","0.109","1.221","-0.401","0.29","-0.141","-0.088","N/A","N/A","-0.307","N/A",2,1,1,3,2,4,1,2,1,1,0,0,1,0
"Pismo Beach",35.1531734,-120.6738743,"-0.832","0.29","-0.311","-0.785","-0.916","0.506","0.271","0.27","-0.157","-0.088","N/A","N/A","-0.28","N/A",1,2,1,1,1,3,2,2,1,1,0,0,1,0
"Arroyo Grande",35.1241529,-120.5845219,"-0.523","0.098","-0.271","-0.343","-0.613","0.577","0.239","0.169","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,3,2,2,1,1,0,0,1,0
"Monterey",36.6012904,-121.8825566,"-0.436","-0.032","-0.501","-0.213","-0.469","0.196","-0.237","0.518","1.896","-0.018","N/A","N/A","-0.305","N/A",1,1,1,1,1,2,1,3,4,1,0,0,1,0
"American Canyon",38.1790331,-122.2596023,"-0.105","-0.646","-0.635","1.255","-0.146","1.163","-0.399","0.651","-0.157","-0.088","N/A","N/A","-0.265","N/A",1,1,1,4,1,4,1,3,1,1,0,0,1,0
"Calistoga",38.5814083,-122.5826961,"-0.535","0.048","0.032","0.6","-0.362","0.418","-0.026","0.681","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,2,3,1,2,1,3,1,1,0,0,1,0
"Yountville",38.3955283,-122.3669157,"-0.78","1.472","-0.052","-0.689","-0.717","-0.667","1.625","0.649","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,1,1,1,1,4,3,1,1,0,0,1,0
"Buellton",34.6154975,-120.1942368,"-0.84","-0.487","-0.008","0.215","-0.805","-0.188","0.001","0.087","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,1,2,2,1,1,0,0,1,0
"Antioch",37.9790748,-121.796195,"0.386","-0.281","-0.619","1.082","0.308","-0.472","-0.41","0.591","-0.157","-0.088","N/A","N/A","-0.299","N/A",2,1,1,4,2,1,1,3,1,1,0,0,1,0
"Concord",37.9721869,-122.0016175,"-0.089","-0.584","-0.441","0.623","-0.122","0.354","-0.577","0.829","-0.153","-0.088","N/A","N/A","-0.306","N/A",1,1,1,3,1,2,1,3,1,1,0,0,1,0
"Danville",37.8121407,-121.9698219,"-0.76","-0.146","-2.103","-0.365","-0.95","-0.214","-0.084","1.362","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Martinez",37.9981228,-122.1144209,"-0.654","-0.658","-0.702","-0.063","-0.616","0.273","-0.441","0.76","-0.076","-0.086","N/A","N/A","-0.124","N/A",1,1,1,1,1,2,1,3,1,1,0,0,1,0
"Pittsburg",38.0199568,-121.9058201,"0.187","-0.523","-0.436","1.578","0.631","0.187","-0.669","0.611","-0.157","-0.088","N/A","N/A","0.698","N/A",2,1,1,4,3,2,1,3,1,1,0,0,3,0
"Pleasant Hill",37.9540083,-122.0758961,"-0.546","-0.583","-0.89","0.071","-0.667","0.354","-0.603","1.118","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,4,1,1,0,0,1,0
"San Ramon",37.7646045,-121.933249,"-0.641","-0.855","-1.807","0.375","-0.916","0.509","-1.145","1.261","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,4,1,1,0,0,1,0
"Walnut Creek",37.902666,-122.040479,"-0.506","0.346","-0.952","-0.204","-0.754","-0.047","0.488","1.192","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Carpinteria",34.3852905,-119.500858,"-0.529","-0.336","-0.551","0.282","-0.162","-0.272","-0.225","0.68","-0.157","-0.088","N/A","N/A","-0.246","N/A",1,1,1,2,1,1,1,3,1,1,0,0,1,0
"Guadalupe",34.9616314,-120.5733774,"0.462","-0.399","0.27","2.441","0.48","-0.253","-0.755","0.15","-0.104","-0.082","N/A","N/A","-0.309","N/A",2,1,2,4,2,1,1,2,1,1,0,0,1,0
"Salinas",36.6901821,-121.6337145,"0.55","-0.348","0.057","2.358","0.478","-0.301","-0.795","0.411","-0.145","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,2,1,1,2,1,1,0,0,1,0
"Agoura Hills",34.1489422,-118.7639301,"-0.57","-0.599","-1.565","-0.421","-0.745","0.148","-0.728","0.985","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,3,1,1,0,0,1,0
"Artesia",33.8675926,-118.0806353,"-0.054","0.008","-0.314","1.508","-0.049","1.318","-0.267","1.319","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,4,1,4,1,4,1,1,0,0,1,0
"Milpitas",37.4339208,-121.8919831,"-0.294","-0.572","-1.097","1.47","-0.365","0.008","-0.813","1.37","-0.157","-0.088","N/A","N/A","-0.234","N/A",1,1,1,4,1,2,1,4,1,1,0,0,1,0
"Del Mar",32.9628522,-117.2624379,"-0.91","-0.192","-1.518","-1.162","-0.668","0.228","-0.327","2.649","-0.157","-0.088","N/A","N/A","-0.103","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Avalon",33.324043,-118.334699,"0.245","-0.981","-0.416","0.568","-0.311","0.303","-1.063","0.789","0.044","-0.043","N/A","N/A","N/A","N/A",2,1,1,3,1,2,1,3,2,1,0,0,0,0
"Bellflower",33.8878214,-118.1272504,"0.25","-0.414","0.091","1.573","0.451","0.748","-0.82","1.438","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,2,3,1,4,1,1,0,0,1,0
"Bell Gardens",33.9643785,-118.1544369,"1.948","-0.295","0.317","2.813","1.726","0.207","-1.087","1.788","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,2,1,4,1,1,0,0,1,0
"Claremont",34.1249246,-117.7139226,"-0.4","-0.023","-0.893","0.125","-0.515","1.104","0.114","0.814","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,2,3,1,1,0,0,1,0
"Commerce",33.9945234,-118.1499518,"0.7","0.056","0.139","2.002","1.213","0.758","-0.362","0.561","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,2,2,4,4,3,1,3,1,1,0,0,1,0
"Cudahy",33.9640029,-118.1825614,"1.854","-0.429","0.259","2.735","1.746","1.413","-1.259","2.021","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,4,1,4,1,1,0,0,1,0
"El Monte",34.0746329,-118.0291358,"1.086","-0.072","0.249","2.462","1.033","1.345","-0.588","1.43","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,4,1,4,1,1,0,0,1,0
"Solvang",34.5937578,-120.1396803,"0.712","-0.347","-0.683","0.145","-0.268","-0.015","-0.228","0.339","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,2,1,1,1,2,1,1,0,0,1,0
"Goleta",34.4348747,-119.8577412,"-0.635","-0.653","-0.722","0.325","-0.322","-0.18","-0.394","-0.097","-0.153","-0.088","N/A","N/A","-0.303","N/A",1,1,1,2,1,1,1,1,1,1,0,0,1,0
"Lompoc",34.6626889,-120.470837,"0.752","-0.111","0.226","1.204","0.88","-0.064","-0.428","-0.094","-0.13","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,1,1,1,1,1,0,0,1,0
"Santa Barbara",34.4006009,-119.7129545,"-0.104","-0.651","-0.662","0.276","-0.137","0.297","-0.547","1.278","3.81","-0.05","N/A","N/A","-0.187","N/A",1,1,1,2,1,2,1,4,4,1,0,0,1,0
"Santa Maria",34.9332137,-120.4438151,"0.502","-0.513","0.068","2.194","0.502","0.267","-0.804","0.297","-0.13","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,2,1,2,1,1,0,0,1,0
"El Segundo",33.9171449,-118.401554,"-0.351","-1.106","-1.014","0.081","-0.285","1.363","-1.121","1.359","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Hawaiian Gardens",33.8304821,-118.0734509,"1.621","-0.046","0.209","2.22","1.082","1.113","-0.695","1.458","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,4,1,4,1,1,0,0,1,0
"Hermosa Beach",33.8652682,-118.3962966,"-0.64","-1.475","-1.382","-0.616","-0.77","0.95","-1.351","2.702","0.008","-0.081","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,4,2,1,0,0,1,0
"Hidden Hills",34.1637439,-118.6612038,"-0.911","0.737","-1.454","-0.833","-0.886","-0.763","-0.195","2.195","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,1,4,1,1,0,0,1,0
"Pasadena",34.160592,-118.139593,"0.288","-0.596","-0.538","0.847","-0.077","1.069","-0.757","1.382","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,1,4,1,4,1,1,0,0,1,0
"Newport Beach",33.5971325,-117.890263,"-0.593","-0.15","-1.554","-0.71","-0.813","0.499","-0.313","2.101","0.432","-0.083","N/A","N/A","0.039","N/A",1,1,1,1,1,2,1,4,2,1,0,0,2,0
"Santa Monica",34.0234128,-118.4816663,"-0.314","-0.934","-0.846","-0.148","-0.276","-0.05","-1.045","2.509","0.06","-0.086","N/A","N/A","-0.307","N/A",1,1,1,1,1,1,1,4,2,1,0,0,1,0
"Cerritos",33.8677431,-118.0694719,"-0.561","0.296","-1.239","1.211","-0.603","0.586","0.461","1.101","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,4,1,3,2,4,1,1,0,0,1,0
"Covina",34.0904746,-117.8821434,"-0.238","-0.5","-0.283","1.077","0.079","0.826","-0.583","0.983","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,3,1,3,1,1,0,0,1,0
"Lomita",33.7933044,-118.3174486,"0.108","-0.491","-0.118","0.766","0.058","0.25","-0.638","1.516","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,2,2,1,4,1,1,0,0,1,0
"Manhattan Beach",33.8896319,-118.3973699,"-0.811","-0.32","-2.005","-0.395","-0.828","0.962","-0.482","2.988","-0.13","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,4,1,1,0,0,1,0
"Maywood",33.9885052,-118.1876662,"1.567","-0.502","0.416","2.908","1.547","0.654","-1.242","2.225","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,3,1,4,1,1,0,0,1,0
"Monrovia",34.1639973,-117.9846118,"-0.259","-0.718","-0.42","0.741","-0.196","1.17","-0.794","0.902","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,4,1,3,1,1,0,0,1,0
"San Dimas",34.1079574,-117.8085286,"-0.339","-0.04","-0.661","0.191","-0.59","0.338","0.095","0.674","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,2,3,1,1,0,0,1,0
"El Paso de Robles (Paso Robles)",35.6407402,-120.6542682,"-0.048","-0.346","-0.179","0.328","-0.115","1.612","-0.359","-0.524","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,1,1,1,0,0,1,0
"Morro Bay",35.3672891,-120.8692045,"-0.261","0.66","-0.079","-0.661","-0.286","1.314","0.715","-0.092","1.387","0.037","N/A","N/A","-0.234","N/A",1,3,1,1,1,4,3,1,4,2,0,0,1,0
"San Luis Obispo",35.263954,-120.661126,"-0.387","-0.52","-0.134","-0.52","0.386","0.291","-0.763","0.24","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,2,2,1,2,1,1,0,0,1,0
"Oakley",37.9939359,-121.6911388,"-0.434","-0.551","-0.592","0.661","-0.198","-0.068","-0.67","0.509","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,1,1,3,1,1,0,0,1,0
"Watsonville",36.9196077,-121.7702498,"0.502","-0.507","0.02","2.349","0.599","-0.142","-0.7","1.096","-0.149","-0.088","N/A","N/A","-0.307","N/A",3,1,2,4,3,1,1,4,1,1,0,0,1,0
"Santa Cruz",36.974385,-122.0352679,"0.218","-0.343","-0.589","-0.267","0.299","0.077","-0.572","1.624","5.515","-0.013","N/A","N/A","-0.298","N/A",2,1,1,1,2,2,1,4,4,1,0,0,1,0
"Acalanes Ridge",37.9047221,-122.0785741,"-1.074","-1.049","-0.379","-0.409","-0.99","N/A","-1.295","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Acton",34.4960703,-118.183897,"-0.46","0.06","-0.508","-0.476","-0.413","0.119","0.046","0.264","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,2,2,2,1,1,0,0,1,0
"Agua Dulce",34.5045821,-118.3163987,"-0.409","0.125","-1.347","-0.513","-0.466","N/A","0.151","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,0,2,0,1,1,0,0,1,0
"Aguanga",33.4522463,-116.8554705,"-0.475","0.315","2.078","-0.288","0.14","N/A","0.595","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,2,4,1,2,0,3,0,1,1,0,0,0,0
"Alamo",37.8546013,-122.0129845,"-0.795","0.434","-2.849","-0.928","-0.992","-0.479","0.373","1.942","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Albion",39.2253267,-123.7575859,"-1.074","0.914","1.046","-0.953","0.159","N/A","1.832","N/A","-0.023","0.297","N/A","N/A","-0.282","N/A",1,3,4,1,2,0,4,0,1,2,0,0,1,0
"Alderpoint",40.1613467,-123.6157293,"-1.074","2.406","1.895","-1.28","0.411","N/A","-0.032","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,4,1,2,0,1,0,1,1,0,0,1,0
"Alhambra Valley",37.9665402,-122.131847,"-0.812","0.456","-0.594","-0.645","-1.391","N/A","0.529","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,0,3,0,1,1,0,0,1,0
"Allendale",38.4429856,-121.9833299,"-0.995","-0.271","-0.096","-1.024","-1.007","N/A","0.947","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,3,0,1,1,0,0,1,0
"Alondra Park",33.8905082,-118.3354782,"0.721","-0.559","-0.073","1.597","0.58","1.322","-0.826","1.172","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,3,4,1,4,1,1,0,0,1,0
"Alpine",32.8422857,-116.7560444,"-0.338","-0.19","-0.631","-0.421","-0.408","0.109","-0.034","0.479","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,2,1,1,0,0,1,0
"Altadena",34.1922117,-118.1355893,"-0.329","-0.358","-0.826","0.557","-0.357","1.27","-0.227","1.139","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,4,1,4,1,1,0,0,1,0
"Alto",37.9055811,-122.5187182,"-1.074","-0.696","-1.307","-1.038","-1.067","N/A","-1.192","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Alum Rock",37.3694001,-121.8239302,"-0.061","-0.27","-0.67","2.161","0.268","0.354","-0.489","1.812","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,2,1,4,1,1,0,0,1,0
"Amesti",36.9594832,-121.7817391,"0.439","-0.315","0.229","1.153","0.623","-0.58","-0.347","0.671","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,3,1,1,3,1,1,0,0,1,0
"Anchor Bay",38.8126532,-123.5702668,"-1.074","1.332","0.087","-1.05","-0.758","N/A","2.58","N/A","-0.157","-0.088","N/A","N/A","-0.304","N/A",1,4,2,1,1,0,4,0,1,1,0,0,1,0
"Angwin",38.5778747,-122.4512239,"-0.465","-0.697","-0.466","0.275","-0.341","2.188","-0.823","0.411","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,2,1,1,0,0,1,0
"Aptos",36.9911473,-121.8927575,"-0.72","-0.331","-0.922","-0.539","-0.99","0.084","0.133","1.097","-0.145","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,2,4,1,1,0,0,1,0
"Aptos Hills-Larkin Valley",36.9545594,-121.8214547,"-0.794","0.383","-0.958","-1.046","0.133","-0.517","0.853","0.784","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,2,1,3,3,1,1,0,0,1,0
"Aromas",36.8747551,-121.6307316,"-0.441","-0.443","-0.264","-0.003","-0.474","-0.736","-0.692","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,1,1,1,1,1,1,0,1,1,0,0,0,0
"Ashland",37.6941687,-122.1158984,"0.726","-0.59","-0.051","2.217","0.817","0.91","-0.995","1.525","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,3,3,1,4,1,1,0,0,1,0
"Avila Beach",35.1993549,-120.7207571,"-1.074","0.448","-0.61","-1.208","-1.232","N/A","0.578","N/A","1.124","0.789","N/A","N/A","-0.292","N/A",1,2,1,1,1,0,3,0,4,3,0,0,1,0
"Avocado Heights",34.0367691,-118.0017825,"-0.007","0.113","-0.293","1.9","0.425","0.848","-0.125","0.873","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,4,2,3,1,3,1,1,0,0,1,0
"Ballard",34.6304728,-120.1117821,"-0.459","-0.163","0.358","-0.503","-0.784","N/A","-0.433","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,2,1,1,0,1,0,1,1,0,0,1,0
"Bay Point",38.032742,-121.9609577,"0.494","-0.537","0.24","1.998","1.134","-0.296","-0.956","0.492","-0.157","-0.088","N/A","N/A","-0.044","N/A",2,1,2,4,4,1,1,2,1,1,0,0,1,0
"Bayview (Contra Costa County)",38.0062344,-122.3201647,"-0.872","0.083","-1.114","0.368","-0.168","N/A","-0.141","N/A","-0.157","-0.088","N/A","N/A","-0.244","N/A",1,2,1,2,1,0,1,0,1,1,0,0,1,0
"Bayview (Humboldt County)",40.7653348,-124.1786051,"-0.307","-0.319","0.879","-0.1","0.334","0.594","-0.621","-1.334","-0.157","-0.088","N/A","N/A","-0.213","N/A",1,1,3,1,2,3,1,1,1,1,0,0,1,0
"Bell Canyon",34.2081335,-118.6875883,"-0.395","-0.164","-3.271","-0.266","-0.683","N/A","-0.425","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Benbow",40.0602672,-123.7653807,"0.383","0.664","0.957","-0.407","-0.918","N/A","0.402","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,3,3,1,1,0,2,0,1,1,0,0,1,0
"Ben Lomond",37.0781958,-122.0881161,"-0.412","-0.625","-0.801","-0.36","-0.612","0.895","-0.555","0.924","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,3,1,1,0,0,1,0
"Bertsch-Oceanview",41.7516381,-124.1704977,"1.823","0.977","0.9","-0.259","2.737","-0.812","0.563","-1.542","-0.157","-0.088","N/A","N/A","-0.235","N/A",4,3,3,1,4,1,3,1,1,1,0,0,1,0
"Bethel Island",38.0304665,-121.625018,"0.092","0.93","0.934","-0.54","0.406","-2.715","1.081","-0.024","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,3,3,1,2,1,4,1,1,1,0,0,1,0
"Big Lagoon",41.1593611,-124.1298681,"-1.074","1.817","1.114","-0.776","-0.834","N/A","1.664","N/A","-0.157","-0.088","N/A","N/A","-0.298","N/A",1,4,4,1,1,0,4,0,1,1,0,0,1,0
"Blackhawk",37.8096767,-121.9131406,"-0.775","-0.255","-3.028","-0.492","-0.964","N/A","-0.307","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Blacklake",35.0496894,-120.538642,"-1.074","2.631","0.139","-1.473","-1.261","N/A","3.741","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,2,1,1,0,4,0,1,1,0,0,1,0
"Black Point-Green Point",38.1098416,-122.5188093,"-0.933","-0.006","-1.633","-0.874","-0.711","-0.691","0.507","1.291","-0.157","-0.088","N/A","N/A","1.138","N/A",1,1,1,1,1,1,3,4,1,1,0,0,4,0
"Bloomfield",38.3220688,-122.834464,"-0.628","-1.033","0.038","-0.649","-0.288","N/A","-0.457","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,2,1,1,0,1,0,1,1,0,0,1,0
"Bodega",38.3488408,-122.9711641,"-1.074","0.955","-1.393","-1.149","0.403","N/A","1.116","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,2,0,4,0,1,1,0,0,1,0
"Bodega Bay",38.3275057,-123.0300219,"-1.074","-0.56","-0.346","-1.423","-0.828","-1.032","0.417","0.922","2.255","2.784","N/A","N/A","-0.203","N/A",1,1,1,1,1,1,2,3,4,4,0,0,1,0
"Bolinas",37.9177251,-122.7095023,"-0.441","0.447","-0.969","-0.847","-0.572","1.948","0.858","1.284","0.112","0.121","N/A","N/A","-0.241","N/A",1,2,1,1,1,4,3,4,2,2,0,0,1,0
"Bonita",32.6412398,-117.0657958,"-0.614","0.196","-1.154","0.391","-0.079","0.219","0.587","0.839","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,2,1,2,1,2,3,3,1,1,0,0,1,0
"Bonny Doon",37.0434804,-122.136848,"-0.141","-0.043","-0.779","-0.812","-0.648","N/A","0.302","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,2,0,1,1,0,0,1,0
"Bonsall",33.2748761,-117.1918628,"-0.59","0.223","-0.817","-0.096","-0.231","0.441","0.073","0.427","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,2,2,2,1,1,0,0,1,0
"Boonville",39.0114742,-123.3740427,"-0.084","-0.315","0.23","0.593","0.284","N/A","0.055","N/A","-0.153","-0.087","N/A","N/A","-0.309","N/A",1,1,2,3,2,0,2,0,1,1,0,0,1,0
"Boronda",36.6948914,-121.6746697,"-0.92","1.41","-0.094","2.379","0.539","-0.603","0.727","-0.117","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,1,4,3,1,3,1,1,1,0,0,1,0
"Borrego Springs",33.2453976,-116.3570351,"-0.929","1.283","0.892","0.037","-0.369","0.265","1.372","-0.71","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,3,2,1,2,4,1,1,1,0,0,1,0
"Bostonia",32.819048,-116.942264,"0.516","-0.27","0.163","0.681","0.831","0.127","-0.55","0.974","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,3,3,2,1,3,1,1,0,0,1,0
"Boulder Creek",37.1341004,-122.1272075,"-0.476","-0.549","-0.283","-0.508","-0.128","0.127","-0.49","0.744","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,3,1,1,0,0,1,0
"Boulevard",32.6640221,-116.2896012,"3.482","3.999","0.307","-1.542","1.202","N/A","3.518","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,4,2,1,4,0,4,0,1,1,0,0,1,0
"Boyes Hot Springs",38.3126328,-122.4887382,"-0.223","-1.02","-0.232","0.791","0.157","0.317","-0.655","1.043","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,2,2,1,4,1,1,0,0,1,0
"Bradley",35.8628398,-120.8042676,"-0.294","0.175","1.765","-0.953","-0.032","N/A","-1.03","-1.145","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,4,1,1,0,1,1,1,1,0,0,1,0
"Broadmoor",37.6914244,-122.4811474,"-0.885","-1.011","-0.981","0.767","-0.515","0.889","-0.768","2.061","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Brookdale",37.1057325,-122.1106268,"-0.02","-0.949","-0.206","-0.92","-0.105","N/A","-0.371","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Brooktrails",39.4432827,-123.3938002,"0.236","-0.33","0.22","0.059","0.864","N/A","-0.051","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,2,3,0,1,0,1,1,0,0,1,0
"Burbank CDP",37.3210726,-121.9304571,"-0.263","-1.197","-0.254","1.034","0.301","0.105","-1.25","1.823","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,2,1,4,1,1,0,0,1,0
"Byron",37.8756342,-121.6421206,"0.513","0.237","-0.119","0.291","0.674","1.479","0.287","0.393","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,2,1,2,3,4,2,2,1,1,0,0,1,0
"Callender",35.0479717,-120.5759076,"-1.074","-0.14","-0.604","0.728","-0.054","N/A","0.116","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,0,2,0,1,1,0,0,1,0
"Calpella",39.2337206,-123.1937598,"-0.339","0.856","1.31","0.076","0.832","N/A","1.467","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,4,2,3,0,4,0,1,1,0,0,1,0
"Cambria",35.5524795,-121.084527,"-0.302","1.118","-0.316","-0.566","-0.368","0.381","1.553","-0.349","-0.153","-0.088","N/A","N/A","-0.304","N/A",1,4,1,1,1,2,4,1,1,1,0,0,1,0
"Cambrian Park",37.2562735,-121.9289025,"-0.62","-0.611","-1.841","-0.299","-0.83","2.108","-0.502","1.827","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,4,1,4,1,1,0,0,1,0
"Camino Tassajara",37.7908735,-121.8850351,"-0.575","-0.33","-2.043","0.152","-0.53","N/A","-1.031","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,0,1,0,1,1,0,0,1,0
